time,x-bear,y-bear,x-window,y-window,y-relative,x-relative
15.867,2.605983333,4.106032754,1.15606679,3.155531909,0.950500845,1.449916543
15.9,2.6382037,3.896600364,1.204397341,3.364964299,0.531636066,1.433806359
15.933,2.67847916,3.622727239,1.389664455,3.566341596,0.056385643,1.288814705
15.967,2.67847916,3.37301939,1.486325558,3.824104537,-0.451085147,1.192153602
16,2.710699528,3.155531909,1.542711201,3.928820732,-0.773288823,1.167988326
16.033,2.742919895,2.913879152,1.719923223,4.114087846,-1.200208694,1.022996672
16.067,2.767085171,2.809162957,1.808529234,4.251024408,-1.441861451,0.958555937
16.1,2.839580998,2.73666713,1.953520889,4.38796097,-1.65129384,0.886060109
16.133,2.839580998,2.801107865,1.985741256,4.420181338,-1.619073473,0.853839742
16.167,2.831525906,2.90582406,1.993796348,4.444346614,-1.538522554,0.837729558
16.2,2.831525906,3.179697185,2.00185144,4.379905878,-1.200208694,0.829674466
16.233,2.863746274,3.437460126,2.058237083,4.412126246,-0.97466612,0.80550919
16.267,2.920131917,3.630782331,2.098512543,4.371850787,-0.741068455,0.821619374
16.3,2.928187009,3.816049445,2.042126899,4.299354959,-0.483305514,0.886060109
16.333,2.863746274,3.896600364,2.009906532,4.202693857,-0.306093492,0.853839742
16.367,2.904021733,4.001316559,2.034071808,4.114087846,-0.112771287,0.869949926
16.4,2.960407377,4.057702202,2.058237083,3.993261467,0.064440735,0.902170293
16.433,2.960407377,4.08992257,2.058237083,3.848269813,0.241652757,0.902170293
16.467,3.032903204,4.114087846,2.074347267,3.727443434,0.386644411,0.958555937
16.5,3.024848112,4.114087846,2.098512543,3.574396688,0.539691158,0.926335569
16.533,3.040958296,4.154363305,2.114622727,3.453570309,0.700792996,0.926335569
16.567,2.984572652,4.138253121,2.13073291,3.324688839,0.813564282,0.853839742
16.6,3.057068479,4.146308213,2.17100837,3.24413792,0.902170293,0.886060109
16.633,3.097343939,4.146308213,2.235449105,3.20386246,0.942445753,0.861894834
16.667,3.137619398,4.106032754,2.275724565,3.083036082,1.022996672,0.861894834
16.7,3.121509215,4.138253121,2.259614381,3.018595347,1.119657775,0.861894834
16.733,3.137619398,4.234914224,2.275724565,3.018595347,1.216318877,0.861894834
16.767,3.210115226,4.267134592,2.332110208,3.018595347,1.248539245,0.878005018
16.8,3.35510688,4.315465143,2.404606035,3.018595347,1.296869797,0.950500845
16.833,3.387327247,4.38796097,2.428771311,3.018595347,1.369365624,0.958555937
16.867,3.403437431,4.444346614,2.372385668,3.010540255,1.433806359,1.031051764
16.9,3.500098534,4.460456797,2.412661127,3.010540255,1.449916543,1.087437407
16.933,3.500098534,4.396016062,2.404606035,3.042760622,1.35325544,1.095492499
16.967,3.48398835,4.42823643,2.364330576,3.042760622,1.385475807,1.119657775
17,3.48398835,4.613503544,2.412661127,3.058870806,1.554632737,1.071327223
17.033,3.467878166,4.532952625,2.477101862,3.099146266,1.433806359,0.990776304
17.067,3.532318902,4.541007716,2.477101862,3.179697185,1.361310532,1.055217039
17.1,3.556484177,4.42823643,2.452936587,3.20386246,1.224373969,1.103547591
17.133,3.572594361,4.355740603,2.477101862,3.20386246,1.151878142,1.095492499
17.167,3.548429086,4.331575327,2.46904677,3.20386246,1.127712867,1.079382315
17.2,3.52426381,4.178528581,2.420716219,3.20386246,0.97466612,1.103547591
17.233,3.492043442,4.017426743,2.412661127,3.20386246,0.813564282,1.079382315
17.267,3.467878166,3.952986008,2.420716219,3.284413379,0.668572628,1.047161948
17.3,3.48398835,3.92076564,2.452936587,3.324688839,0.596076801,1.031051764
17.333,3.492043442,3.832159629,2.380440759,3.300523563,0.531636066,1.111602683
17.367,3.48398835,3.767718894,2.348220392,3.381074482,0.386644411,1.135767958
17.4,3.48398835,3.687167975,2.291834748,3.429405034,0.257762941,1.192153602
17.433,3.435657799,3.606617056,2.251559289,3.437460126,0.16915693,1.18409851
17.467,3.419547615,3.493845769,2.203228738,3.437460126,0.056385643,1.216318877
17.5,3.419547615,3.429405034,2.195173646,3.501900861,-0.072495827,1.224373969
17.533,3.427602707,3.292468471,2.195173646,3.574396688,-0.281928217,1.232429061
17.567,3.427602707,3.163587001,2.179063462,3.622727239,-0.459140239,1.248539245
17.6,3.35510688,2.954154611,2.122677819,3.638837423,-0.684682812,1.232429061
17.633,3.371217064,2.768887498,2.122677819,3.654947607,-0.886060109,1.248539245
17.667,3.395382339,2.615840751,2.154898186,3.671057791,-1.055217039,1.240484153
17.7,3.395382339,2.309747259,2.114622727,3.695223067,-1.385475807,1.280759613
