t,x-ball,y-ball,x-clock,y-clock,x-relative,y-relative
1.935,2.520212166,1.435022622,0.585363673,2.440661132,1.934848493,-1.00563851
2.002,2.540324937,1.784984823,0.677882416,2.416525808,1.862442521,-0.631540984
2.069,2.544347491,1.986112525,0.790513929,2.376300267,1.753833562,-0.390187742
2.135,2.564460261,2.203330444,0.883032672,2.315961957,1.681427589,-0.112631513
2.202,2.556415153,2.340097281,0.963483753,2.263668754,1.5929314,0.076428527
2.269,2.548370045,2.452728794,1.027844617,2.207352998,1.520525427,0.245375796
2.336,2.532279828,2.496976889,1.088182928,2.151037241,1.4440969,0.345939647
2.402,2.52423472,2.472841564,1.152543793,2.102766593,1.371690928,0.370074972
2.469,2.52423472,2.452728794,1.237017427,2.046450836,1.287217293,0.406277958
2.536,2.52423472,2.380322821,1.3094234,2.042428282,1.21481132,0.337894539
2.603,2.552392599,2.287804078,1.389874481,2.05047339,1.162518118,0.237330688
2.669,2.552392599,2.163104903,1.454235346,2.05047339,1.098157253,0.112631513
2.736,2.532279828,1.974044863,1.534686426,2.054495944,0.997593402,-0.080451081
2.803,2.540324937,1.740736729,1.595024737,2.082653822,0.945300199,-0.341917093
2.87,2.516189612,1.479270716,1.643295386,2.082653822,0.872894227,-0.603383106
2.936,2.508144504,1.141376177,1.679498372,2.09069893,0.828646132,-0.949322754
3.003,2.500099396,0.827616962,1.739836683,2.106789147,0.760262714,-1.279172185
